Compound,Date,Negative,Neutral,News,Positive,Tweets Ago
0.0,2018-03-13 20:00:05+00:00,1.0,0.0,BBC,0.0,1
0.0,2018-03-13 19:00:05+00:00,1.0,0.0,BBC,0.0,2
0.0,2018-03-13 18:30:05+00:00,1.0,0.0,BBC,0.0,3
0.6696,2018-03-13 17:30:06+00:00,0.71,0.0,BBC,0.29,4
-0.296,2018-03-13 17:16:46+00:00,0.913,0.087,BBC,0.0,5
0.3182,2018-03-13 17:13:13+00:00,0.897,0.0,BBC,0.103,6
-0.5255,2018-03-13 17:02:28+00:00,0.72,0.188,BBC,0.092,7
0.6808,2018-03-13 14:00:22+00:00,0.702,0.054,BBC,0.244,8
0.4215,2018-03-13 13:00:08+00:00,0.865,0.0,BBC,0.135,9
0.0258,2018-03-13 12:26:59+00:00,0.824,0.086,BBC,0.09,10
0.0,2018-03-13 12:03:24+00:00,1.0,0.0,BBC,0.0,11
0.25,2018-03-13 12:00:09+00:00,0.9,0.0,BBC,0.1,12
-0.431,2018-03-13 11:28:09+00:00,0.808,0.192,BBC,0.0,13
-0.4588,2018-03-13 11:26:58+00:00,0.88,0.12,BBC,0.0,14
0.0,2018-03-13 09:00:06+00:00,1.0,0.0,BBC,0.0,15
0.6304,2018-03-13 08:30:07+00:00,0.718,0.081,BBC,0.2,16
-0.0772,2018-03-13 08:00:03+00:00,0.76,0.129,BBC,0.111,17
0.5515,2018-03-12 20:17:27+00:00,0.771,0.0,BBC,0.229,18
-0.7003,2018-03-12 20:16:22+00:00,0.599,0.303,BBC,0.099,19
0.2263,2018-03-12 19:23:01+00:00,0.84,0.0,BBC,0.16,20
0.2263,2018-03-12 18:30:06+00:00,0.881,0.0,BBC,0.119,21
0.5859,2018-03-12 17:30:05+00:00,0.84,0.0,BBC,0.16,22
0.0,2018-03-12 16:44:15+00:00,1.0,0.0,BBC,0.0,23
0.9022,2018-03-12 16:24:52+00:00,0.643,0.0,BBC,0.357,24
0.8429,2018-03-12 16:17:43+00:00,0.702,0.0,BBC,0.298,25
0.0,2018-03-12 16:07:16+00:00,1.0,0.0,BBC,0.0,26
-0.3612,2018-03-12 15:55:51+00:00,0.884,0.116,BBC,0.0,27
-0.34,2018-03-12 14:00:09+00:00,0.806,0.194,BBC,0.0,28
0.25,2018-03-12 13:30:45+00:00,0.9,0.0,BBC,0.1,29
0.0,2018-03-12 13:27:27+00:00,1.0,0.0,BBC,0.0,30
0.0,2018-03-12 12:59:05+00:00,1.0,0.0,BBC,0.0,31
0.0,2018-03-12 12:46:06+00:00,1.0,0.0,BBC,0.0,32
-0.34,2018-03-12 12:40:39+00:00,0.888,0.112,BBC,0.0,33
0.0,2018-03-12 12:19:24+00:00,1.0,0.0,BBC,0.0,34
0.0,2018-03-12 12:00:09+00:00,1.0,0.0,BBC,0.0,35
-0.6542,2018-03-12 10:58:16+00:00,0.709,0.225,BBC,0.066,36
0.7579,2018-03-12 10:55:19+00:00,0.647,0.071,BBC,0.282,37
-0.5255,2018-03-12 10:52:55+00:00,0.841,0.159,BBC,0.0,38
0.2433,2018-03-12 09:58:30+00:00,0.696,0.119,BBC,0.185,39
-0.1531,2018-03-12 09:00:06+00:00,0.545,0.264,BBC,0.191,40
0.2732,2018-03-12 08:30:04+00:00,0.687,0.133,BBC,0.18,41
0.0516,2018-03-12 08:00:05+00:00,0.64,0.174,BBC,0.186,42
0.6068,2018-03-11 21:39:32+00:00,0.763,0.0,BBC,0.237,43
0.6908,2018-03-11 21:22:19+00:00,0.678,0.0,BBC,0.322,44
0.3612,2018-03-11 21:02:37+00:00,0.848,0.0,BBC,0.152,45
0.861,2018-03-11 20:00:07+00:00,0.57,0.0,BBC,0.43,46
0.765,2018-03-11 19:54:20+00:00,0.662,0.048,BBC,0.29,47
0.296,2018-03-11 19:52:28+00:00,0.767,0.097,BBC,0.137,48
0.4939,2018-03-11 19:51:36+00:00,0.868,0.0,BBC,0.132,49
-0.7481,2018-03-11 19:51:25+00:00,0.715,0.285,BBC,0.0,50
0.0,2018-03-11 19:51:12+00:00,1.0,0.0,BBC,0.0,51
0.0,2018-03-11 19:50:11+00:00,1.0,0.0,BBC,0.0,52
0.0,2018-03-11 19:49:56+00:00,1.0,0.0,BBC,0.0,53
